RUN	botiqueClass.Boutiquee	boutiquee	1682420487814	test	3.9.0
REQUEST		To_Home	1682420488528	1682420488530	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488528	1682420488530	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488528	1682420488530	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488528	1682420488530	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488528	1682420488530	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488528	1682420488530	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488529	1682420488530	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488529	1682420488530	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	END	1682420488552
USER	Online Boutique Home Page	END	1682420488553
USER	Online Boutique Home Page	END	1682420488553
USER	Online Boutique Home Page	END	1682420488553
USER	Online Boutique Home Page	END	1682420488553
USER	Online Boutique Home Page	END	1682420488553
USER	Online Boutique Home Page	END	1682420488553
USER	Online Boutique Home Page	END	1682420488553
USER	Online Boutique Home Page	START	1682420488553
USER	Online Boutique Home Page	START	1682420488554
USER	Online Boutique Home Page	START	1682420488554
USER	Online Boutique Home Page	START	1682420488554
REQUEST		To_Home	1682420488554	1682420488554	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488554	1682420488554	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488554	1682420488554	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	START	1682420488555
USER	Online Boutique Home Page	START	1682420488555
USER	Online Boutique Home Page	START	1682420488555
REQUEST		To_Home	1682420488554	1682420488555	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	START	1682420488555
REQUEST		To_Home	1682420488555	1682420488555	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488555	1682420488555	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488555	1682420488555	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	START	1682420488555
USER	Online Boutique Home Page	START	1682420488555
USER	Online Boutique Home Page	START	1682420488556
REQUEST		To_Home	1682420488555	1682420488556	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	START	1682420488556
REQUEST		To_Home	1682420488556	1682420488556	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488556	1682420488556	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488556	1682420488556	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	START	1682420488556
USER	Online Boutique Home Page	START	1682420488556
USER	Online Boutique Home Page	START	1682420488556
REQUEST		To_Home	1682420488556	1682420488556	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	START	1682420488556
REQUEST		To_Home	1682420488557	1682420488557	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488557	1682420488557	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488557	1682420488557	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488557	1682420488557	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	START	1682420488557
USER	Online Boutique Home Page	START	1682420488557
USER	Online Boutique Home Page	START	1682420488557
USER	Online Boutique Home Page	START	1682420488557
REQUEST		To_Home	1682420488558	1682420488558	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488558	1682420488558	KO	j.n.UnknownHostException: onlineboutique.dev
REQUEST		To_Home	1682420488558	1682420488558	KO	j.n.UnknownHostException: onlineboutique.dev
